permit_number,issued_date,site_address,sub_type,work_type,contractor,description,valuation
MI293653,2025-07-01,11305 Park Ridge Dr W,Single Family,Remodel/Alteration,CUSTOM BY KUNTZ LLC,bathroom remodel,12000
MI293574,2025-06-30,601 Carlson Pkwy 1400,Commercial/Ind,Remodel/Alteration,FENDLER PATTERSON CONSTRUCTION,"Suit Tenant Improvement 300,000",1400
MI292909,2025-06-30,4350 Baker Rd 400,Commercial/Ind,Tenant Finish,CRAWFORD MERZ LLC,interior tenant finish improvements,58581
MI292303,2025-06-30,3640 Larchwood Cir,Single Family,Addition,HAVEN RESIDENTIAL MGMT LLC,Construct screened porch.,87270
MI292371,2025-06-30,5586 Nantucket Pl,Single Family,Addition,KOHNER CONSTRUCTION LLC,26x24 addition with basement to front of home. 2 bedroom 1 bath.,106700
MI293958,2025-06-30,3541 Robinwood Ter,Single Family,Maintenance/Repair,10k Llc,Re-roof and I&W to Mn code,16000
MI293976,2025-06-30,416 Sunset Dr S,Single Family,Maintenance/Repair,Shield Pro Exteriors Llc,Tear off existing shingles and re-shingle with new,30000
MI294007,2025-06-30,1556 Oakways,Single Family,Maintenance/Repair,River Valley Remodelers,5 replace windows in existing,27737
MI294012,2025-06-30,13431 Southridge Rd,Single Family,Maintenance/Repair,Shield Pro Exteriors Llc,"Reroof, Paint Siding, replace two doors",20000
MI293652,2025-06-30,19151 Hanus Rd,Single Family,Remodel/Alteration,GREAT LAKES WINDOW & SIDING CO,Bathroom Remodel,11000
MI293812,2025-06-30,6009 Creek Ridge Ct,Single Family,Remodel/Alteration,Design-it Kitchen And Bath,"Wet Area Remodel - New Tub, Surround - will expose exterior wall",8300
MI293961,2025-06-30,3000 St Albans Mill Rd 214,Single Family,Remodel/Alteration,Debra L Frank,"demo permit only Interior finishes, kitchen/bath cabinets & fixtures",5000
MI293997,2025-06-30,5241 Silver Maple Cir,Townhouse Units,Maintenance/Repair,Hoyt Construction,tear off and reside,5000
MI293998,2025-06-30,5243 Silver Maple Cir,Townhouse Units,Maintenance/Repair,Hoyt Construction,tear off and reside,5000
MI293999,2025-06-30,5245 Silver Maple Cir,Townhouse Units,Maintenance/Repair,Hoyt Construction,tear off and reside,5000
MI294000,2025-06-30,5247 Silver Maple Cir,Townhouse Units,Maintenance/Repair,Hoyt Construction,tear off and reside,4000
MI292555,2025-06-27,12101 Robin Cir,Commercial/Ind,Remodel/Alteration,MINNESOTA WHEELCHAIR RAMPS LLC,install wheelchair ramp for group home,6180
MI293931,2025-06-27,4202 Maple La,Single Family,Maintenance/Repair,Summit Construction Group Ing,13FF Windows existing openings,50000
MI293937,2025-06-27,16515 Prospect Pl,Single Family,Maintenance/Repair,Snap Construction Inc,Remove and replace roof 24 SQ,12629
MI293940,2025-06-27,5504 Mayview Rd,Single Family,Maintenance/Repair,Renewal By Andersen Llc,Replace 4 windows and 1 patio door within existing openings.,19584
MI293941,2025-06-27,5108 Clear Spring Rd,Single Family,Maintenance/Repair,Renewal By Andersen Llc,"Replace 2 windows within existing openings.15,157",
MI292882,2025-06-26,5605 Green Circle Dr,Commercial/Ind,Remodel/Alteration,FIXED ASSETS,"Seperate room into 2 smaller rooms. Cut in new door for the ""den"" and 1 new door for the new closet.",23800
MI293554,2025-06-26,14600 Minnetonka Blvd,Commercial/Ind,Remodel/Alteration,,Police Department,1660
MI293753,2025-06-26,250 Carlson Pkwy 205,Multi Family Apts/Condos,Maintenance/Repair,Dorglass Inc,"Unit# 250-205 Patio door replacement, same size and style WO# 71819",6087
MI293756,2025-06-26,140 Carlson Pkwy 202,Multi Family Apts/Condos,Maintenance/Repair,DORGLASS INC,Unit# 140-202 Livingroom right window replacement same size and style WO# 72408,3610
MI293727,2025-06-26,5936 Lone Lake Loop,Single Family,Addition,BREWER BUILT LLC INC,Build New Composite Deck,10000
MI293903,2025-06-26,3829 Cottage La,Single Family,Maintenance/Repair,AMRG LLC,complete tear off and reroof with asphalt shingles.,13500
MI293904,2025-06-26,16101 Tonkawood Ct,Single Family,Maintenance/Repair,A Better Way To Build Llc,reroof house,6000
MI293914,2025-06-26,11600 Oberlin Rd,Single Family,Maintenance/Repair,Renewal By Andersen Llc,"Replace 5 windows within exiting openings.16,904",
MI293918,2025-06-26,18832 Covington Rd,Single Family,Maintenance/Repair,Minnesota Builders Llp,Reroof existing roof - asphalt shingles,22000
MI293757,2025-06-26,5949 Holiday Rd,Single Family,Remodel/Alteration,DUPONT DECKS INC,Replacing deck railings only,8000
MI293897,2025-06-26,5444 Maple Ridge Ct,Single Family,Remodel/Alteration,John P Breedlove,Expand basement bedroom into end of hallway and into closet of additional bedroom. Create new close,10000
MI293654,2025-06-26,17851 Comstock Rd,Two Family Residence,Remodel/Alteration,TRINITY EXTERIORS INC,New Cut in Skylight,400
MI293656,2025-06-26,17821 Comstock Rd,Two Family Residence,Remodel/Alteration,TRINITY EXTERIORS INC,New Cut in Skylight,800
MI293657,2025-06-26,17825 Brigham Tr,Two Family Residence,Remodel/Alteration,TRINITY EXTERIORS INC,New Cut in Skylight,800
MI293658,2025-06-26,17730 Breconwood Rd,Two Family Residence,Remodel/Alteration,TRINITY EXTERIORS INC,New Cut in Skylight,400
MI293661,2025-06-26,17651 Breconwood Rd,Two Family Residence,Remodel/Alteration,TRINITY EXTERIORS INC,New Cut in Skylight,800
MI293662,2025-06-26,17811 Comstock Rd,Two Family Residence,Remodel/Alteration,TRINITY EXTERIORS INC,New Cut in Skylight,400
MI292542,2025-06-25,14600 Minnetonka Blvd,Commercial/Ind,Remodel/Alteration,HORIZON ROOFING INC,PARTIAL ROOF REPLACEMENT POLICE DEPT & COMM CENTERn.,676500
MI292577,2025-06-25,12525 Wayzata Blvd 1270,Commercial/Ind,Remodel/Alteration,PRM CONTRACTING,"install new nonsales and office walls, act. ceiling, flooring and lighting into space 1270.",65000
MI292878,2025-06-25,10901 Hillside La W,Commercial/Ind,Remodel/Alteration,ONE WAY WIRELESS CONSTRUCTION INCAdd,"or replace antennas, ancillary equipment and ground equipment per plans for existing carrier.",25000
MI293497,2025-06-25,12363 Wayzata Blvd 1370,Commercial/Ind,Remodel/Alteration,COMMERCIAL REMODELING PRO SERIESInterior,Remodeling,13200
MI293614,2025-06-25,5500 Feltl Rd,Commercial/Ind,Remodel/Alteration,,1. Install new flooring 2. Adding walls to add some office rooms 3.Extend one toilet each bathroom,300000
MI293617,2025-06-25,5621 Co Rd No 101,Institution,Remodel/Alteration,MORCON CONSTRUCTION,Framing out below the existing stair closet space. Building new stud walls to make a conference rm,72915
MI293576,2025-06-25,10511 Cedar Lake Rd 520,Multi Family Apts/Condos,Remodel/Alteration,Anthony Giglio,Updating kitchen,12000
MI293557,2025-06-25,2727 Ashbourne Rd,Single Family,Addition,James J Zuehlke,New deck larger than existing footprint,11600
MI293650,2025-06-25,13101 Shady Dale Rd,Single Family,Maintenance/Repair,WALKER ROOFING CO,"install 8 hayfield double hung windows and 1 picture window in dining room, office and master bedroo",12220
MI293848,2025-06-25,2312 Oakland Rd,Single Family,Maintenance/Repair,Pella Northland,Replacing 5 windows & 1 front entry door- No changes to rough openings,30587
MI293851,2025-06-25,5645 Oakview La,Single Family,Maintenance/Repair,Pure Co Roofing Llc,tear off and re roof,8742
MI293854,2025-06-25,3505 Green Ridge Rd 1,Single Family,Maintenance/Repair,Austad Construction Inc,Reroof flat roof areas,48875
MI293856,2025-06-25,5741 Lake Rose Dr,Single Family,Maintenance/Repair,Hoffman Weber Construction,Re-side,18213
MI293858,2025-06-25,5741 Lake Rose Dr,Single Family,Maintenance/Repair,Hoffman Weber Construction,Replace 2 windows with existing openings,4374
MI293880,2025-06-25,4909 Westgate Rd,Single Family,Maintenance/Repair,Scherer Brothers,Replacing 1 patio door and 1 window,9723
MI293881,2025-06-25,5709 Lake Rose Dr,Single Family,Maintenance/Repair,Sela Roofing & Remodel Inc Dba Sela Gutter Connect,reroof house and attached,19000
MI293882,2025-06-25,2004 Runnymeade Ct,Single Family,Maintenance/Repair,Sela Roofing & Remodel Inc Dba Sela Gutter Connect,house and attached,19000
MI293285,2025-06-25,4731 Gaywood Dr,Single Family,Remodel/Alteration,BMAN CONSTRUCTS LLC,Build dormer in upstairs room and add a closet,15000
MI293381,2025-06-25,2551 Crescent Ridge Rd,Single Family,Remodel/Alteration,BIGDECK.COM INC,"Re-Deck/Re-Rail of existing deck/landing 25' x 20', at deepest ends, rebuild staircases",10000
MI293602,2025-06-25,4517 Woodhill Rd,Single Family,Remodel/Alteration,BOYER BUILDING CORP,Main Level Remodel,155000
MI293866,2025-06-25,17835 Brigham Tr,Two Family Residence,Maintenance/Repair,Trinity Exteriors Inc,,7915
MI293870,2025-06-25,17840 Comstock Rd,Two Family Residence,Maintenance/Repair,Trinity Exteriors Inc,,7915
MI293584,2025-06-24,6048 Chasewood Pkwy 102,Multi Family Apts/Condos,Remodel/Alteration,MAD CITY HOME IMPROVEMENT LLC,condo BATH REMODEL,5579
MI290810,2025-06-24,3205 Fairchild Ave,Single Family,Addition,BLACK DOG HOMES CO,adding approximately 3' of deck to the East of the existing deck and adding a eyebrowroof,7000
MI293257,2025-06-24,4909 Royal Oaks Dr,Single Family,Addition,BREWER BUILT LLC INC,New Deck & Porch,40000
MI293805,2025-06-24,15814 Boulder Creek Dr,Single Family,Maintenance/Repair,Tonka Roofing,Tear off existing shingles and install new asphalt shingles.,9520
MI293816,2025-06-24,13958 Oakland Pl,Single Family,Maintenance/Repair,Summit Construction Group Ing,RE-ROOF,40000
MI293827,2025-06-24,4652 Deerwood Dr,Single Family,Maintenance/Repair,Stoltz Installation And Carpentry Co,7,9000
MI293831,2025-06-24,15227 Highland Bluff,Single Family,Maintenance/Repair,Window Nation Llc,WINDOW REPLACEMENT,24746
MI293840,2025-06-24,4125 Merriam Rd,Single Family,Maintenance/Repair,Grussing Roofing & Exteriors Inc,Partial replace siding on half of north wall,5500
MI293843,2025-06-24,14008 Tribal Tr,Single Family,Maintenance/Repair,PELLA NORTHLAND,Replacing 5 windows-no changes to rough openings,45481
MI290588,2025-06-23,1520 Clare La,Commercial/Ind,New,NORTH SHORE CONTRACTORS LLC,Memory Care,7675695
MI292689,2025-06-23,5125 Co Rd No 101 102,Commercial/Ind,Tenant Finish,AMCON OUTLAND INC,Provide remodel of interior finishes for a new tenant.,48000
MI290245,2025-06-23,929 Carlson Pkwy,Multi Family Apts/Condos,New,"RT Residential, Inc.","4-unit, 3 story, wood framed condo building",1697128
MI284576,2025-06-23,10101 Bren Rd E,Multi Family Apts/Condos,Remodel/Alteration,STEVENS CONSTRUCTION CORPORATIONAdding,four (4) units to building in previous common area spaces.,373406
MI291155,2025-06-23,4921 Royal Oaks Dr,Single Family,Addition,BOYER BUILDING CORP,4 Season Porch Addition w/ Deck,90000
MI291289,2025-06-23,5308 Highland Rd,Single Family,Addition,JOE BUILDER LLC,"Extend roof over front porch, sidewalk driveway",20000
MI293738,2025-06-23,14400 Rocksborough Rd,Single Family,Maintenance/Repair,Renewal By Andersen Llc,Replace 6 windows and 2 patio doors within existing openings.,40063
MI293739,2025-06-23,11303 Lorry La W,Single Family,Maintenance/Repair,Renewal By Andersen Llc,Replace 6 windows and 2 entry doors within existing openings.,41300
MI293743,2025-06-23,5572 Bimini Dr,Single Family,Maintenance/Repair,Crew 2 Inc,1 Patio door replacement - no alterations to existing opening1st fl- no access from outside,2523
MI293744,2025-06-23,3009 Atwood Dr,Single Family,Maintenance/Repair,Legacy Restoration Llc,Tear off and re roof 42 sq asphalt shingles,39083
MI293759,2025-06-23,18703 Hanus Rd,Single Family,Maintenance/Repair,All Around Property Preservation,Replacing the roof on the house.,17044
MI293785,2025-06-23,15304 Highland Bluff,Single Family,Maintenance/Repair,Summit Builders Inc,Reroof,32873
MI293791,2025-06-23,4050 Thrushwood La,Single Family,Maintenance/Repair,Eliteco Inc,Removing old cedar siding and installing LP EXPERT FINISH LAP SIDING,24000
MI293792,2025-06-23,2408 Cedarwood Ridge,Single Family,Maintenance/Repair,Urban Renovations Llc,Reroof house with asphalt shingles,10500
MI293796,2025-06-23,5600 Woodland Rd,Single Family,Maintenance/Repair,Build Today For Tomorrow Llc,remove and replace roof,13990
MI293797,2025-06-23,4723 Sparrow Rd,Single Family,Maintenance/Repair,Pella Northland,Replacing 7 windows & 1 patio door- No changes to rough openings,35400
MI290361,2025-06-23,12100 Golden Acre Dr,Single Family,Remodel/Alteration,WORKS CONSTRUCTION LLC,"new roofing and siding, enclosing deck on rear of house and making it 3 season",135000
MI293604,2025-06-23,3924 Avondale St,Single Family,Remodel/Alteration,OCEL BUILDERS INC,Remove shower and install roll in shower. insulate exterior wall,2000
MI293770,2025-06-23,17850 Tioga Tr,Two Family Residence,Maintenance/Repair,Trinity Exteriors Inc,,9415
MI293772,2025-06-23,17820 Comstock Rd,Two Family Residence,Maintenance/Repair,Trinity Exteriors Inc,,9415
MI293773,2025-06-23,17830 Comstock Rd,Two Family Residence,Maintenance/Repair,Trinity Exteriors Inc,,7915
MI293774,2025-06-23,17840 Brigham Tr,Two Family Residence,Maintenance/Repair,Trinity Exteriors Inc,,7915
MI293775,2025-06-23,17850 Brigham Tr,Two Family Residence,Maintenance/Repair,TRINITY EXTERIORS INC,Re ROOF,7915
MI293777,2025-06-23,17910 Brigham Tr,Two Family Residence,Maintenance/Repair,Trinity Exteriors Inc,,8665
MI293778,2025-06-23,17920 Brigham Tr,Two Family Residence,Maintenance/Repair,Trinity Exteriors Inc,,7915
MI293781,2025-06-23,17840 Tioga Tr,Two Family Residence,Maintenance/Repair,Trinity Exteriors Inc,,10165
MI293793,2025-06-23,17850 Comstock Rd,Two Family Residence,Maintenance/Repair,Trinity Exteriors Inc,,7915
MI293794,2025-06-23,17920 Comstock Rd,Two Family Residence,Maintenance/Repair,Trinity Exteriors Inc,,7915
MI293795,2025-06-23,17930 Comstock Rd,Two Family Residence,Maintenance/Repair,Trinity Exteriors Inc,,7915
MI293717,2025-06-20,4501 Tonkawood Rd,Single Family,Maintenance/Repair,Air Pro Llc,Chimney reline for wood fireplace,6200
MI293719,2025-06-20,6103 Scenic Rd,Single Family,Maintenance/Repair,Evergreen Construction Company Inc,reroofing,6500
MI293735,2025-06-20,3921 Skyview Rd,Single Family,Maintenance/Repair,Lindus Construction,Reroof including tear off,41000
MI293707,2025-06-20,17805 Tioga Tr,Two Family Residence,Maintenance/Repair,Trinity Exteriors Inc,,9415
MI293710,2025-06-20,17815 Tioga Tr,Two Family Residence,Maintenance/Repair,Trinity Exteriors Inc,,7915
MI293711,2025-06-20,17820 Brigham Tr,Two Family Residence,Maintenance/Repair,Trinity Exteriors Inc,,10165
MI293714,2025-06-20,17830 Brigham Tr,Two Family Residence,Maintenance/Repair,Trinity Exteriors Inc,,10165
MI293733,2025-06-20,17700 Breconwood Rd,Two Family Residence,Maintenance/Repair,Trinity Exteriors Inc,,7915
MI293668,2025-06-19,13809 Bellevue Dr,Single Family,Maintenance/Repair,Justified Builders Llc Dba Justified Exteriors,Tear off & reroof,31000
MI293669,2025-06-19,4532 Wilson St,Single Family,Maintenance/Repair,Miller Roofs Llc,ReRoof,10000
MI293673,2025-06-19,15380 Highland Pl,Single Family,Maintenance/Repair,Midwest Roofing Siding And Windows Llc,Tear off re-side house,27000
MI293684,2025-06-19,5525 Conifer Tr,Single Family,Maintenance/Repair,True North Roofing Llc,Reroof house,55000
MI293689,2025-06-19,5110 Lee Way,Single Family,Maintenance/Repair,Allstar Construction Commercial Llc,flat roof reroof - 16SQ,45845
MI292725,2025-06-19,16704 Lake St Extension,Single Family,Remodel/Alteration,Exterior Home Guys,"Replace Deck Boards and Railings, Add lateral Restraint",23000
MI292929,2025-06-19,18410 Highpath La,Single Family,Remodel/Alteration,AFFORDABLE EGRESS WINDOWS & BASEMENT,egress window WATERPROOFING,8940
MI293376,2025-06-18,14505 Minnetonka Dr,Multi Family Apts/Condos,Remodel/Alteration,RYAN COMPANY INC,Install new Steel I beam to allow for new front entry sliding door installation,7500
MI293615,2025-06-18,18 Westwood Rd,Single Family,Maintenance/Repair,Northern Lights Group Llc,Re-Roof main dwelling and detached garage,8000
MI293484,2025-06-18,5750 Glen Moor Cir 0,Single Family,Remodel/Alteration,VUE RESIDENTIAL CONSTRUCTION LLC,"install egress window, repair outside landing and steps, install LVP flooring on main bathroom,",20000
MI293545,2025-06-18,17306 Bay La,Single Family,Remodel/Alteration,ALL GOOD EGRESS LLC,"INSTALL EGRESS CASEMENT 29X41 WINDOW,CORRUGATED METAL WELL,LADDER IN EXISTING WINDOW LOCATION",2800
MI293618,2025-06-18,17710 Breconwood Rd,Two Family Residence,Maintenance/Repair,Trinity Exteriors Inc,,7915
MI293619,2025-06-18,17901 Tioga Tr,Two Family Residence,Maintenance/Repair,Trinity Exteriors Inc,,7915
MI293620,2025-06-18,17911 Tioga Tr,Two Family Residence,Maintenance/Repair,Trinity Exteriors Inc,,7915
MI293621,2025-06-18,17845 Tioga Tr,Two Family Residence,Maintenance/Repair,Trinity Exteriors Inc,,8665
MI293622,2025-06-18,17855 Tioga Tr,Two Family Residence,Maintenance/Repair,Trinity Exteriors Inc,,9415
MI293623,2025-06-18,17825 Tioga Tr,Two Family Residence,Maintenance/Repair,Trinity Exteriors Inc,,7915
MI293624,2025-06-18,17835 Tioga Tr,Two Family Residence,Maintenance/Repair,Trinity Exteriors Inc,,7915
MI293625,2025-06-18,17800 Comstock Rd,Two Family Residence,Maintenance/Repair,Trinity Exteriors Inc,,7915
MI293626,2025-06-18,17810 Comstock Rd,Two Family Residence,Maintenance/Repair,Trinity Exteriors Inc,,11665
MI293627,2025-06-18,17923 Comstock Rd,Two Family Residence,Maintenance/Repair,Trinity Exteriors Inc,,7915
MI293628,2025-06-18,17927 Comstock Rd,Two Family Residence,Maintenance/Repair,Trinity Exteriors Inc,,7915
MI293629,2025-06-18,17800 Brigham Tr,Two Family Residence,Maintenance/Repair,Trinity Exteriors Inc,,8665
MI293630,2025-06-18,17810 Brigham Tr,Two Family Residence,Maintenance/Repair,Trinity Exteriors Inc,,8665
MI293631,2025-06-18,17805 Brigham Tr,Two Family Residence,Maintenance/Repair,Trinity Exteriors Inc,,7915
MI293632,2025-06-18,17815 Brigham Tr,Two Family Residence,Maintenance/Repair,Trinity Exteriors Inc,,8665
MI293633,2025-06-18,17851 Comstock Rd,Two Family Residence,Maintenance/Repair,Trinity Exteriors Inc,,14743
MI293636,2025-06-18,17821 Comstock Rd,Two Family Residence,Maintenance/Repair,TRINITY EXTERIORS INC,New SKYLIGHT,14375
MI293637,2025-06-18,17825 Brigham Tr,Two Family Residence,Maintenance/Repair,Trinity Exteriors Inc,,11057
MI293659,2025-06-18,17730 Breconwood Rd,Two Family Residence,Maintenance/Repair,Trinity Exteriors Inc,,8665
MI293660,2025-06-18,17651 Breconwood Rd,Two Family Residence,Maintenance/Repair,Trinity Exteriors Inc,,9415
MI293663,2025-06-18,17811 Comstock Rd,Two Family Residence,Maintenance/Repair,Trinity Exteriors Inc,,8665
MI293440,2025-06-17,4308 Blenheim Cir,Single Family,Addition,PRECISION DECKS,Install new deck per plans,5192
MI293578,2025-06-17,15809 Normandy La,Single Family,Maintenance/Repair,Mohler Chimney Repair,We are removing the chimneys exterior masonry to the roof line & rebuilding it with a new brick.,7980
MI293586,2025-06-17,14325 Orchard Rd,Single Family,Maintenance/Repair,Lindus Construction,Remove & replace 3 square of siding on the 3 gables only,5000
MI293595,2025-06-17,4245 Duke Dr,Single Family,Maintenance/Repair,Home Depot Usa Inc,Remove and replace 1 entry door same size no structural change,10549
MI293600,2025-06-17,2430 Winter Cir,Single Family,Maintenance/Repair,New Life Contracting Inc,Remove and replace roof,62676
MI293603,2025-06-17,12324 Woodbine Rd,Single Family,Maintenance/Repair,810 Builders Inc,"Remove and replace siding, rewrap with new housewrap, flash and caulk",25000
MI293606,2025-06-17,12202 Pioneer Rd,Single Family,Maintenance/Repair,Gold Star Contracting Llc,Roof Replacement,13000
MI293608,2025-06-17,18509 Timber Ridge Dr,Single Family,Maintenance/Repair,Holmlund Masonry,"Rebuild top 7 courses of chimney with new brick, tuckpoint any open joints down to roof.",4295
MI293610,2025-06-17,12230 Mari La,Single Family,Maintenance/Repair,Crew 2 Inc,1patio door replacement - no alterations to existing opening- rear deck patio door,1998
MI293613,2025-06-17,477 Willoughby Way W,Single Family,Maintenance/Repair,Pella Northland,Replacing 2 windows- no changes to rough openings,16557
MI293127,2025-06-17,15401 Lake St Extension,Single Family,Remodel/Alteration,Bela A Demchouk,Separate Laundry and bathroom in basement plus painting/floors etc,5000
MI293156,2025-06-17,3311 Fairchild Ave,Single Family,Remodel/Alteration,MASON CONSTRUCTION SERVICES LLC,INSTALL NEW EGRESS WINDOW INTO NEW BEDROOM IN BASEMENT. NO WINDOW WELL DUE TO GRADE OF BACK YARD,2500
MI293461,2025-06-17,5554 Bimini Dr,Townhouse Units,Remodel/Alteration,EVERLAST CONSTRUCTION SOLUTIONS,"LLC Re-surface deck, new railing",8500
MI292808,2025-06-16,1415 Traymore Rd,Single Family,Addition,I SITE DEVELOPMENT LLC,garage addition and front entry remodel/addition,124000
MI290347,2025-06-16,11324 Fetterly Rd W,Single Family,Maintenance/Repair,JOBE BROTHERS CONSTRUCTION INC,Tear Off/Reroof,18000
MI293502,2025-06-16,3818 Willmatt Hill,Single Family,Maintenance/Repair,Renewal By Andersen Llc,"Replace 4 windows within existing openings.14,408",
MI293503,2025-06-16,16647 Meadowbrook La,Single Family,Maintenance/Repair,Renewal By Andersen Llc,Replace 15 windows and 1 patio door within existing opening.,61882
MI293504,2025-06-16,3916 Auburn Dr,Single Family,Maintenance/Repair,Renewal By Andersen Llc,"Replace 4 windows within existing openings.16,058",
MI293505,2025-06-16,12905 Jorissen Rd,Single Family,Maintenance/Repair,Renewal By Andersen Llc,Replace 2 patio doors within existing openings.,11989
MI293506,2025-06-16,18524 Spring Crest Dr,Single Family,Maintenance/Repair,Renewal By Andersen Llc,Replace 1 entry door within existing opening.,15347
MI293517,2025-06-16,16643 Bywood La,Single Family,Maintenance/Repair,Blue Line Exteriors,remove and replace roofing,18850
MI293521,2025-06-16,3419 Elmwood Pl,Single Family,Maintenance/Repair,Nexgen Contracting Llc,Tear of shingled roof and install new roofing system,7500
MI293527,2025-06-16,14209 Brandbury Walk,Single Family,Maintenance/Repair,Minnetonka Construction,Complete Re-Side,39657
MI293530,2025-06-16,13401 Southridge Rd,Single Family,Maintenance/Repair,Renewal Experts Construction,Siding remove and replace,3300
MI293533,2025-06-16,12802 Linde La,Single Family,Maintenance/Repair,Advantage Construction Inc,Tear off Reroof,21530
MI293558,2025-06-16,4239 Queens Way,Single Family,Maintenance/Repair,John M Whisney,Tear off and reroof,14585
MI293559,2025-06-16,14910 Walker Pl,Single Family,Maintenance/Repair,Home Depot Usa Inc,WINDOW REPLACEMENT,19284
MI293208,2025-06-16,14317 Mcginty Rd W,Single Family,Remodel/Alteration,METRO REMODELING MN,remove existing deck and replace with same or similar,25000
MI293393,2025-06-16,13940 Hill Ridge Dr,Single Family,Remodel/Alteration,CAPITAL CONSTRUCTION LLC,"R & R 5 damaged garage trusses, asphalt reroof right side only",6708
MI293426,2025-06-16,2931 Tonkaha Dr,Single Family,Remodel/Alteration,Richard D Levine,Convert one bathroom into two smaller bathrooms with the same overall footprint.,40000
MI293457,2025-06-16,12916 Hideaway Tr,Single Family,Remodel/Alteration,EGRESS WINDOW GUY,Egress Window & Well Installation,4410
MI293543,2025-06-16,17820 Tioga Tr,Two Family Residence,Maintenance/Repair,Trinity Exteriors Inc,,8665
MI293544,2025-06-16,17830 Tioga Tr,Two Family Residence,Maintenance/Repair,Trinity Exteriors Inc,,7915
MI293546,2025-06-16,17741 Breconwood Rd,Two Family Residence,Maintenance/Repair,Trinity Exteriors Inc,,7915
MI293547,2025-06-16,17751 Breconwood Rd,Two Family Residence,Maintenance/Repair,Trinity Exteriors Inc,,7915
MI293548,2025-06-16,17701 Breconwood Rd,Two Family Residence,Maintenance/Repair,Trinity Exteriors Inc,,9415
MI293549,2025-06-16,17705 Breconwood Rd,Two Family Residence,Maintenance/Repair,Trinity Exteriors Inc,,9415
MI292504,2025-06-13,601 Carlson Pkwy 700,Commercial/Ind,Remodel/Alteration,FENDLER PATTERSON CONSTRUCTION,"Carlson Parkway Pine River Suite 700 Remodel 100,000",601
MI292632,2025-06-13,14550 Excelsior Blvd,Commercial/Ind,Remodel/Alteration,ANDERSON CC INC,Tenant Remodel,210450
MI293295,2025-06-13,13001 Wayzata Blvd,Commercial/Ind,Remodel/Alteration,Mastec Network Solutions Llc,AT&T Equipment Upgrades to existing cell site. Upgrade and replacement of Antennas and Radios on an,25000
MI293157,2025-06-13,4813 Williston Rd,Single Family,Addition,GREG SCHROEDER REMODELING,Add a porch to the front of the house.,35000
MI293478,2025-06-13,2402 Ford Rd,Single Family,Maintenance/Repair,"Bauer Services Ii, Inc.",Re-roof,30990
MI293485,2025-06-13,12908 Shady Dale Rd,Single Family,Maintenance/Repair,All Craftsmen Exteriors,"reroof home by tearoff install asphalt shingles11,000",
MI293487,2025-06-13,17524 Hampton Ct,Single Family,Maintenance/Repair,All Craftsmen Exteriors,Reroof home by tear off install asphalt shingles,17500
MI293491,2025-06-13,12925 Rutledge Cir,Single Family,Maintenance/Repair,Scherer Brothers,Replacing 1 Entry door,5359
MI293492,2025-06-13,4449 Gaywood Dr,Single Family,Maintenance/Repair,Scherer Brothers,Replacing 1 window,4611
MI293499,2025-06-13,4501 Baker Rd,Single Family,Maintenance/Repair,Blackbeard Construction Corporation,Tear off and reroof asphalt shingle roof,16500
MI293147,2025-06-13,1934 Linner Rd,Single Family,Remodel/Alteration,HOXIE HOMES & REMODELING LLC,Basement finish and main floor remodel,500000
MI293261,2025-06-13,4500 Willow Oak La,Single Family,Remodel/Alteration,BIGDECK.COM INC,"Rebuild existing deck (22'x8), plus expand around to south side of house",10000
MI293278,2025-06-13,5023 Woodgate Ct,Single Family,Remodel/Alteration,Mad City Home Improvement Llc,1st floor removal to install walk in shwr and exposing ext wall,6029
MI293471,2025-06-13,17671 Breconwood Rd,Two Family Residence,Maintenance/Repair,Trinity Exteriors Inc,,7915
MI293472,2025-06-13,17675 Breconwood Rd,Two Family Residence,Maintenance/Repair,Trinity Exteriors Inc,,7915
MI293473,2025-06-13,17661 Breconwood Rd,Two Family Residence,Maintenance/Repair,Trinity Exteriors Inc,,7915
MI293474,2025-06-13,17665 Breconwood Rd,Two Family Residence,Maintenance/Repair,Trinity Exteriors Inc,,7915
MI293475,2025-06-13,17800 Tioga Tr,Two Family Residence,Maintenance/Repair,TRINITY EXTERIORS INC,ReROOF,10915
MI293477,2025-06-13,17810 Tioga Tr,Two Family Residence,Maintenance/Repair,Trinity Exteriors Inc,,9415
MI293479,2025-06-13,17921 Tioga Tr,Two Family Residence,Maintenance/Repair,Trinity Exteriors Inc,,10166
MI293480,2025-06-13,17931 Tioga Tr,Two Family Residence,Maintenance/Repair,Trinity Exteriors Inc,,7915
MI293442,2025-06-12,4409 Eastwood Rd,Single Family,Maintenance/Repair,Incline Enterprises Inc,flat roof,12000
MI293445,2025-06-12,4236 Co Rd No 101,Single Family,Maintenance/Repair,Snap Construction Inc,Remove and replace roof 30 SQ,18614
MI293446,2025-06-12,4111 Wendover Ct,Single Family,Maintenance/Repair,Bison Builders Inc,Re Roof house and attached garage,10000
MI293448,2025-06-12,5716 Scenic Dr,Single Family,Maintenance/Repair,Amrg Llc,complete tear off and reroof with asphalt shingles.,6900
MI293463,2025-06-12,17640 Breconwood Rd,Two Family Residence,Maintenance/Repair,Trinity Exteriors Inc,,7915
MI293464,2025-06-12,17715 Breconwood Rd,Two Family Residence,Maintenance/Repair,Trinity Exteriors Inc,,7915
